Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1997-07-17,454.0,466.0,452.0,464.0,461.14130434783,36800.0,67.0,16970000.0,,,14.0,10.0
1997-07-18,465.0,465.0,454.0,457.5,460.04807692308,2600.0,20.0,1196125.0,,,11.0,-7.5
1997-07-21,453.0,455.0,452.0,452.25,452.3203125,3200.0,17.0,1447425.0,,,3.0,-0.75
1997-07-23,460.25,466.0,460.0,461.25,460.375,5200.0,21.0,2393950.0,,,6.0,1.0
1997-07-24,464.75,467.5,461.25,467.25,466.98487903226,24800.0,32.0,11581225.0,,,6.25,2.5
1997-07-25,466.0,470.0,465.0,466.25,464.89215686275,5100.0,24.0,2370950.0,,,5.0,0.25
1997-07-28,464.0,467.25,464.0,467.25,466.71647509579,13050.0,16.0,6090650.0,,,3.25,3.25
1997-07-29,465.0,472.5,465.0,467.75,466.88018672199,48200.0,37.0,22503625.0,,,7.5,2.75
1997-07-30,466.0,466.0,463.0,463.0,465.06172839506,810.0,7.0,376700.0,,,3.0,-3.0
1997-07-31,462.0,465.75,460.5,461.25,462.375,400.0,4.0,184950.0,,,5.25,-0.75
1997-08-01,460.0,460.0,450.25,450.25,452.875,800.0,6.0,362300.0,,,9.75,-9.75
1997-08-08,470.0,470.0,434.0,458.5,454.73830409357,17100.0,51.0,7776025.0,,,36.0,-11.5
1997-09-10,430.0,435.0,430.0,435.0,431.97565922921,49300.0,7.0,21296400.0,,,5.0,5.0
1997-09-12,448.25,452.25,414.0,442.5,447.73128898129,48100.0,38.0,21535875.0,,,38.25,-5.75
1997-09-15,449.5,452.0,446.0,449.0,446.39211136891,43100.0,20.0,19239500.0,,,6.0,-0.5
1997-09-16,445.25,456.0,444.0,451.0,451.84114583333,28800.0,42.0,13013025.0,,,12.0,5.75
1997-09-29,442.0,460.0,422.0,460.0,446.14937106918,15900.0,47.0,7093775.0,,,38.0,18.0
1997-09-30,444.5,452.0,435.0,438.0,444.93235294118,8500.0,50.0,3781925.0,,,17.0,-6.5
1997-10-01,437.5,460.0,431.5,450.75,454.76861702128,37600.0,56.0,17099300.0,,,28.5,13.25
1997-10-03,450.0,450.0,444.25,445.75,446.83823529412,1700.0,12.0,759625.0,,,5.75,-4.25
1997-10-06,447.0,455.0,447.0,453.0,454.36023622047,38100.0,42.0,17311125.0,,,8.0,6.0
1997-10-09,453.0,457.25,452.0,455.0,456.40948275862,23200.0,42.0,10588700.0,,,5.25,2.0
1997-10-15,453.0,455.0,450.0,454.75,454.10828025478,47100.0,29.0,21388500.0,,,5.0,1.75
1997-10-16,460.0,460.0,453.25,459.0,456.3349847561,65600.0,66.0,29935575.0,,,6.75,-1.0
1997-10-17,459.75,459.75,450.0,452.0,455.72093023256,4300.0,17.0,1959600.0,,,9.75,-7.75
1997-10-20,450.0,450.0,450.0,450.0,450.0,800.0,3.0,360000.0,,,0.0,0.0
1997-10-21,451.0,452.25,448.25,452.25,452.07142857143,11900.0,12.0,5379650.0,,,4.0,1.25
1997-10-24,451.0,451.0,446.0,447.5,448.53947368421,3800.0,19.0,1704450.0,,,5.0,-3.5
1997-11-06,418.0,421.0,414.25,414.25,419.64473684211,1900.0,14.0,797325.0,,,6.75,-3.75
1997-11-07,414.75,416.5,400.0,415.25,419.17125,40000.0,56.0,16766850.0,,,16.5,0.5
1997-11-10,417.75,437.25,416.0,432.5,424.66447368421,3800.0,28.0,1613725.0,,,21.25,14.75
1997-11-24,423.5,425.0,415.0,425.0,420.45762711864,11800.0,34.0,4961400.0,,,10.0,1.5
1997-11-25,424.0,428.0,417.25,417.25,419.16384950927,91700.0,18.0,38437325.0,,,10.75,-6.75
1997-11-26,422.0,422.0,419.5,420.0,421.49440298507,13400.0,18.0,5648025.0,,,2.5,-2.0
1997-11-27,420.0,423.0,419.0,421.75,420.05512820513,19500.0,13.0,8191075.0,,,4.0,1.75
1997-11-28,418.0,419.75,416.0,417.75,417.96428571429,1400.0,13.0,585150.0,,,3.75,-0.25
1997-12-01,412.0,425.0,412.0,420.0,418.40909090909,1100.0,11.0,460250.0,,,13.0,8.0
1997-12-11,373.0,373.0,355.0,356.5,360.62831125828,30200.0,27.0,10890975.0,,,18.0,-16.5
1997-12-12,361.0,366.0,356.0,364.25,362.90909090909,1100.0,8.0,399200.0,,,10.0,3.25
1997-12-15,361.0,365.0,360.5,360.5,361.98325358852,20900.0,10.0,7565450.0,,,4.5,-0.5
1997-12-16,357.5,357.5,356.0,356.0,356.83333333333,300.0,3.0,107050.0,,,1.5,-1.5
1997-12-17,360.0,365.0,360.0,364.0,364.67907801418,56400.0,15.0,20567900.0,,,5.0,4.0
1997-12-18,365.0,373.0,365.0,367.25,369.91295546559,24700.0,34.0,9136850.0,,,8.0,2.25
1997-12-19,367.0,376.0,365.0,374.0,373.12820512821,3900.0,16.0,1455200.0,,,11.0,7.0
1997-12-31,404.0,423.5,400.0,416.25,414.01785714286,7000.0,38.0,2898125.0,,,23.5,12.25
